line_id,sku,line_name,capable,rate_kgph
8,280325,P17,1,1454.0
9,280325,P18,0,1486.0
10,280325,P19,0,1454.0
11,280325,P20,0,1475.0
12,280325,P21,0,1432.0
13,280325,P22,0,1356.0
0,280344,P09,1,716.0
1,280344,P10,0,635.0
2,280344,P11,0,770.0
3,280344,P12,0,608.0
4,280344,P13,0,748.0
5,280344,P14,0,689.0
6,280344,P15,1,630.0
7,280344,P16,0,800.0
8,280344,P17,1,1454.0
9,280344,P18,1,1486.0
10,280344,P19,0,1454.0
11,280344,P20,1,1475.0
12,280344,P21,0,1432.0
13,280344,P22,1,1356.0
0,280345,P09,0,716.0
1,280345,P10,0,635.0
2,280345,P11,1,770.0
3,280345,P12,0,608.0
4,280345,P13,0,748.0
5,280345,P14,1,689.0
6,280345,P15,0,630.0
7,280345,P16,0,800.0
8,280345,P17,0,1454.0
9,280345,P18,0,1486.0
10,280345,P19,0,1454.0
11,280345,P20,0,1475.0
12,280345,P21,0,1432.0
13,280345,P22,0,1356.0
0,280347,P09,0,716.0
1,280347,P10,0,635.0
2,280347,P11,1,770.0
3,280347,P12,0,608.0
4,280347,P13,0,748.0
5,280347,P14,1,689.0
6,280347,P15,0,630.0
7,280347,P16,0,800.0
8,280347,P17,0,1454.0
9,280347,P18,0,1486.0
10,280347,P19,0,1454.0
11,280347,P20,0,1475.0
12,280347,P21,0,1432.0
13,280347,P22,0,1356.0
0,280348,P09,0,716.0
1,280348,P10,0,635.0
2,280348,P11,0,770.0
3,280348,P12,0,608.0
4,280348,P13,0,748.0
5,280348,P14,0,689.0
6,280348,P15,1,630.0
7,280348,P16,1,800.0
8,280348,P17,0,1454.0
9,280348,P18,0,1486.0
10,280348,P19,0,1454.0
11,280348,P20,0,1475.0
12,280348,P21,0,1432.0
13,280348,P22,0,1356.0
0,280351,P09,1,716.0
1,280351,P10,1,635.0
2,280351,P11,1,770.0
3,280351,P12,0,608.0
4,280351,P13,1,748.0
5,280351,P14,0,689.0
6,280351,P15,1,630.0
7,280351,P16,1,800.0
8,280351,P17,0,1454.0
9,280351,P18,0,1486.0
10,280351,P19,1,1454.0
11,280351,P20,0,1475.0
12,280351,P21,0,1432.0
13,280351,P22,0,1356.0
0,280355,P09,1,716.0
1,280355,P10,0,635.0
2,280355,P11,1,770.0
