sku,line,hrs,n_runs,share_of_sku_hrs,recent_hrs,recent_n_runs,recent_share_of_sku_hrs,rank_by_recent_hrs
280212,P17,286.5,10,0.061,29.5,2.0,0.02,8.0
280212,P19,36.0,2,0.008,24.0,1.0,0.016,9.0
280212,P09,225.0,9,0.048,,,,
280212,P10,114.0,4,0.024,,,,
280213,P21,316.0,6,0.073,316.0,6.0,0.267,1.0
280213,P17,564.0,15,0.13,232.0,4.0,0.196,2.0
280213,P19,312.0,9,0.072,192.0,5.0,0.163,3.0
280213,P18,450.5,14,0.104,150.0,6.0,0.127,4.0
280213,P16,409.7,12,0.094,126.5,4.0,0.107,5.0
280213,P11,527.22,19,0.122,105.0,2.0,0.089,6.0
280213,P15,732.86,22,0.169,36.0,2.0,0.03,7.0
280213,P13,667.0,17,0.154,24.0,1.0,0.02,8.0
280213,P09,283.7,7,0.065,,,,
280213,P10,74.1,4,0.017,,,,
280214,P09,566.8,12,0.113,,,,
280214,P10,175.5,3,0.035,,,,
280214,P11,583.3,11,0.116,,,,
280214,P13,668.0,9,0.133,,,,
280214,P15,1723.03,31,0.343,,,,
280214,P16,1309.0,21,0.26,,,,
280216,P14,24.0,2,0.013,,,,
280216,P15,1794.32,22,0.987,,,,
280222,P21,879.56,14,0.054,879.56,14.0,0.339,1.0
280222,P17,2154.17,37,0.133,696.0,12.0,0.268,2.0
280222,P18,2460.0,39,0.151,525.0,9.0,0.202,3.0
280222,P19,354.5,9,0.022,151.5,4.0,0.058,4.0
280222,P13,2198.0,34,0.135,114.0,2.0,0.044,5.0
280222,P16,3186.62,41,0.196,106.0,3.0,0.041,6.0
280222,P15,1742.7,33,0.107,84.0,2.0,0.032,7.0
280222,P11,1357.05,24,0.083,42.0,1.0,0.016,8.0
280222,P09,947.93,22,0.058,,,,
280222,P10,972.25,14,0.06,,,,
280223,P12,165.7,10,1.0,,,,
280225,P12,157.058510638,10,1.0,,,,
280226,P12,124.0,8,1.0,,,,
280227,P12,163.0,9,1.0,,,,
280228,P12,98.0,6,1.0,,,,
280229,P12,116.411347518,9,1.0,,,,
280230,P12,156.55,10,1.0,,,,
280232,P12,56.05,5,0.7,,,,
280232,P18,24.0,1,0.3,,,,
280233,P13,1748.5,24,1.0,,,,
280234,P13,1509.0,24,0.992,,,,
280234,P17,12.0,1,0.008,,,,
280235,P09,12.0,1,0.014,,,,
280235,P13,831.8,16,0.986,,,,
280236,P11,169.0,6,0.201,,,,
280236,P14,671.0,26,0.799,,,,
280237,P11,84.0,4,0.202,,,,
280237,P13,24.0,1,0.058,,,,
280237,P14,308.35,12,0.741,,,,
280238,P11,313.7,10,0.342,,,,
280238,P14,603.0,27,0.658,,,,
280239,P11,210.6,8,0.22,,,,
280239,P14,746.5,29,0.78,,,,
280240,P10,24.0,1,0.05,,,,
280240,P11,460.0,17,0.95,,,,
280241,P11,24.0,1,0.119,,,,
280241,P12,98.0,3,0.488,,,,
280241,P13,24.0,1,0.119,,,,
280241,P14,55.0,2,0.274,,,,
280242,P11,36.0,1,0.283,,,,
280242,P12,91.0,1,0.717,,,,
280243,P13,115.0,3,0.362,,,,
280243,P15,95.0,4,0.299,,,,
280243,P16,108.0,5,0.34,,,,
280244,P20,542.0,12,0.229,392.0,8.0,0.363,1.0
280244,P14,1048.37,17,0.444,283.0,7.0,0.262,2.0
280244,P12,325.23,7,0.138,187.75,5.0,0.174,3.0
280244,P09,143.0,3,0.061,119.0,2.0,0.11,4.0
280244,P13,86.0,3,0.036,50.0,2.0,0.046,5.0
280244,P11,48.0,2,0.02,24.0,1.0,0.022,6.0
280244,P15,24.0,1,0.01,24.0,1.0,0.022,7.0
280244,P17,146.0,3,0.062,,,,
280245,P11,139.0,2,0.141,,,,
280245,P12,228.0,4,0.231,,,,
280245,P13,72.0,1,0.073,,,,
280245,P14,347.0,7,0.351,,,,
280245,P17,19.0,1,0.019,,,,
280245,P20,184.0,2,0.186,,,,
280246,P09,60.0,4,0.119,,,,
280246,P11,48.0,2,0.095,,,,
280246,P13,216.57,3,0.43,,,,
280246,P20,179.0,3,0.355,,,,
280247,P13,507.0,6,1.0,,,,
280256,P13,3297.72,43,0.173,2844.72,35.0,0.33,1.0
280256,P12,7829.5,109,0.412,2243.0,30.0,0.26,2.0
280256,P19,2054.0,27,0.108,2054.0,27.0,0.238,3.0
280256,P16,1997.5,35,0.105,666.5,12.0,0.077,4.0
280256,P11,1609.5,28,0.085,372.0,8.0,0.043,5.0
280256,P17,176.0,2,0.009,176.0,2.0,0.02,6.0
280256,P09,169.0,5,0.009,169.0,5.0,0.02,7.0
280256,P15,1236.0,22,0.065,63.0,1.0,0.007,8.0
280256,P21,24.0,1,0.001,24.0,1.0,0.003,9.0
280256,P10,624.67,7,0.033,,,,
280264,P11,9767.8,147,0.601,2321.1,39.0,0.348,1.0
280264,P16,1678.0,26,0.103,1678.0,26.0,0.252,2.0
280264,P13,3801.5,56,0.234,1666.5,26.0,0.25,3.0
280264,P15,517.5,8,0.032,517.5,8.0,0.078,4.0
280264,P09,366.18,7,0.023,366.18,7.0,0.055,5.0
280264,P20,112.0,2,0.007,112.0,2.0,0.017,6.0
280284,P12,100.0,2,0.342,,,,
280284,P13,78.0,1,0.267,,,,
280284,P14,114.0,3,0.39,,,,
280285,P12,36.0,1,0.375,,,,
280285,P14,60.0,1,0.625,,,,
280286,P09,72.0,2,0.444,,,,
280286,P16,90.0,2,0.556,,,,
280287,P12,88.0,4,1.0,,,,
280298,P11,468.0,6,1.0,372.0,5.0,1.0,1.0
280315,P09,1802.57,46,0.993,,,,
280315,P10,12.0,1,0.007,,,,
280316,P09,662.6,26,0.932,,,,
280316,P11,48.0,2,0.068,,,,
280317,P09,878.03,28,1.0,,,,
280318,P16,313.25,8,0.096,313.25,8.0,0.215,1.0
280318,P11,474.0,13,0.145,304.0,8.0,0.209,2.0
